Price,index,Close,High,Low,Open,Volume,MA_10,MA_30,Daily_Return
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,,
2020-01-01,0,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468,,,
2020-01-02,1,686.8212890625,689.3488518479688,676.3979593733322,676.3979593733322,17710316,,,0.017024519472707
2020-01-03,2,687.6488037109375,689.6618949086101,681.3187290426969,685.7922517653002,20984698,,,0.001204847114694152
2020-01-06,3,671.7006225585938,683.5107049345103,670.1348718060082,679.9766568901101,24519177,,,-0.02319233461365522
2020-01-07,4,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,,,0.015384716036856538
2020-01-08,5,676.9124145507812,686.4410035098094,675.5032624964547,677.7400241132464,16047902,,,-0.007510076107521635
2020-01-09,6,692.5025634765625,693.3972440896104,685.0094043047601,688.2974451452224,14982742,,,0.023031264592964007
2020-01-10,7,692.3460693359375,696.9537946408119,688.7672268918529,694.2472957890357,12478359,,,-0.00022598348205293828
2020-01-13,8,690.5789184570312,697.2892020163699,688.2079551828986,691.1828577141231,18282382,,,-0.002552409780561371
2020-01-14,9,684.181884765625,693.3973351908096,680.8043754201078,688.9238120878065,15816535,684.0051330566406,,-0.009263291305936838
2020-01-15,10,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,684.6426147460937,,-0.003628931394382473
2020-01-16,11,687.9843139648438,690.4224084594933,683.55552505049,684.0029251254354,12847975,684.7589172363281,,0.009220019380502542
2020-01-17,12,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471,686.7205627441406,,0.02802526806621941
2020-01-20,13,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,688.1006530761719,,-0.030771669666652124
2020-01-21,14,686.1950073242188,691.5408742450458,680.8714775601642,683.8240435553602,18922720,688.51669921875,,0.001011640994414087
2020-01-22,15,685.9487915039062,691.9433305465104,684.942245991995,690.7131148902863,10322817,689.4203369140625,,-0.0003588131911256287
2020-01-23,16,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739,688.4741943359375,,-0.004238878826827386
2020-01-24,17,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445,687.3065979003907,,-0.0034712883075300738
2020-01-27,18,673.9598388671875,681.9674704241261,673.2664314282462,677.6952802850295,13387750,685.6446899414062,,-0.009858323531740543
2020-01-28,19,658.3919677734375,675.5032444510476,654.7460541997162,674.8769082130656,24532236,683.0656982421875,,-0.02309910798233461
2020-01-29,20,662.0154418945312,668.5243925324733,654.9472262974796,659.4207487202938,24746565,681.0973388671875,,0.005503521152221413
2020-01-30,21,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,676.8855102539062,,-0.024394316265923033
2020-01-31,22,631.5060424804688,650.115939458839,629.5153479649114,650.004074503463,34750310,669.3095886230469,,-0.022233690475661705
2020-02-03,23,619.8076171875,626.271893069165,609.7645594525795,612.8289298623996,30712290,662.7401977539063,,-0.018524645064390777
2020-02-04,24,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901,657.9311462402344,,0.029520248691078832
2020-02-05,25,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100,654.1353576660156,,0.015493408517352592
2020-02-06,26,652.1513671875,656.267018049872,644.2332634474068,650.496207815146,15538577,651.0463806152344,,0.006420555271359207
2020-02-07,27,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212,647.1141540527344,,-0.016565982033623694
2020-02-10,28,642.2201538085938,646.6489428047836,630.9692153123326,638.8202476362594,15142476,643.940185546875,,0.001360126907111292
2020-02-11,29,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816,643.0902099609375,670.0536804199219,0.011946149712011911
2020-02-12,30,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565,642.6629943847656,669.4676493326823,0.012080579017291315
2020-02-13,31,659.465576171875,661.076061195236,654.2986456938107,661.076061195236,13565659,644.02294921875,668.5557922363281,0.00261848364760775
2020-02-14,32,665.482421875,671.6782343336056,650.0487037471439,660.8523004641426,21227841,647.4205871582031,667.8169128417969,0.009123820742929611
2020-02-17,33,661.2996826171875,673.7808361092095,659.5326584603905,666.1087404521531,13149130,651.5697937011719,667.47021484375,-0.006285273840934247
2020-02-18,34,656.4459228515625,660.248435272722,651.9723999060855,660.248435272722,11127161,653.4039367675781,666.6172607421875,-0.007339727952712094
2020-02-19,35,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,655.8778015136719,666.47783203125,0.02480574530855284
2020-02-20,36,664.744384765625,674.6085086758875,663.7825731086709,669.6876451612479,16892268,657.1371032714844,665.552559407552,-0.011869804765940462
2020-02-24,37,646.4027709960938,660.7404153655295,643.987073728272,657.4971087066476,21370214,657.6425964355469,664.0211161295573,-0.027591979999948557
2020-02-25,38,633.6309814453125,649.2883120922913,630.7678836964259,649.2883120922913,27745062,656.7836791992188,662.1228515625,-0.01975825309520285
2020-02-26,39,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748,654.0660095214844,660.0739725748698,-0.0172268506879123
2020-02-27,40,620.1432495117188,623.5207586374837,612.4263599498594,620.9260652375485,25054993,650.306005859375,658.0221130371094,-0.004130723520571422
2020-02-28,41,594.3756713867188,607.0581581658521,592.7428492925397,606.1186837322065,39315769,643.7970153808594,654.9018249511719,-0.04155100961800129
2020-03-02,42,588.78369140625,612.4262510838603,582.0510115058373,606.2080423411206,29500495,636.1271423339844,650.9524393717448,-0.009408157583943977
2020-03-03,43,600.7280883789062,605.6713484615526,591.4007735026032,594.8454135797672,27398798,630.0699829101562,648.1266581217448,0.02028656219082481
2020-03-04,44,599.3189697265625,605.6266480626504,585.0931280116588,604.821435403794,22105261,624.3572875976563,645.230790201823,-0.0023456846443560275
2020-03-05,45,586.547119140625,607.4832471398267,584.2432264899035,604.9109502487335,30510390,615.7390441894531,641.9174011230468,-0.02131060625657255
2020-03-06,46,568.5857543945312,576.2579099445863,555.2099199542964,568.1384140570675,33734039,606.1231811523437,638.1022216796875,-0.030622202649992936
2020-03-09,47,498.4184875488281,555.1652260313806,489.8516805673975,554.7402228175777,88187018,591.3247528076172,632.0271677652995,-0.12340665643377224
2020-03-11,48,516.0441284179688,527.1832005807552,495.6671803789598,495.6671803789598,59578576,579.5660675048828,626.7633107503256,0.03536313621876608
2020-03-12,49,475.5363464355469,492.5357574215292,469.13920029845366,485.3781326945414,55970485,564.8481506347656,620.6681233723958,-0.07849674039816357
2020-03-13,50,494.4593505859375,509.982477758339,421.5855519763993,446.45836059532905,73297403,552.2797607421875,615.082920328776,0.03979297122550318
2020-03-16,51,454.3765563964844,483.00714524632815,449.58986531183916,474.4403385952524,38482258,538.2798492431641,608.6999379475911,-0.08106388147368382
2020-03-17,52,450.9319152832031,474.19426900063905,448.78462201274766,468.49050072051966,45445979,524.4946716308593,602.6808003743489,-0.00758102737649935
2020-03-18,53,433.2615051269531,463.41311163950786,429.9063628131876,458.6711544738802,44730415,507.7480133056641,596.4625966389974,-0.039186426059801716
2020-03-19,54,410.53594970703125,432.5904563115507,399.128442171934,411.60959642106957,61404010,488.8697113037109,588.8769785563151,-0.05245228378473854
2020-03-20,55,455.3830871582031,462.9657149231966,416.03836966442924,420.2882223245293,63360475,475.75330810546876,582.456717936198,0.10924046355301131
2020-03-23,56,395.4825439453125,424.98547763271785,391.7247653699988,409.86492511955976,40670949,458.4429870605469,573.9010904947917,-0.13153879645969546
2020-03-24,57,422.032958984375,433.93254185914833,400.7389591466198,416.03841857668414,45734887,450.80443420410154,566.5905944824219,0.06713422740280017
2020-03-25,58,484.14788818359375,515.1494403179707,430.91289363718744,431.15893082862937,73130298,447.61481018066405,561.3215189615886,0.1471802803001423
2020-03-26,59,476.9678649902344,499.6486775382283,466.2984990986507,490.20952746231364,45744488,447.7579620361328,555.5573740641277,-0.014830227227257131
2020-03-27,60,476.6994323730469,495.3540612398386,468.02079126607595,489.8516259919914,41657940,445.9819702148437,549.5225789388021,-0.0005627897325808373
2020-03-30,61,460.9749755859375,480.81508630927294,456.30014975804846,465.51562917935905,30229866,446.6418121337891,542.9062255859375,-0.03298610344222941
2020-03-31,62,498.23956298828125,505.4195552653473,468.8260968406911,480.4349081941597,44292810,451.37257690429686,537.3314636230468,0.08083863414706483
2020-04-01,63,483.3426513671875,503.093264271414,467.5734569491014,502.0419846435416,41597459,456.3806915283203,531.3995625813802,-0.029899094186232156
2020-04-03,64,482.0006103515625,507.49975757793965,472.53909292167856,507.49975757793965,41367807,463.52715759277345,525.5847188313802,-0.0027765830551657045
2020-04-07,65,539.5525512695312,543.0865994063779,492.0883712024452,493.0278157060707,54373624,471.94410400390626,521.1454854329427,0.11940221585194966
2020-04-08,66,533.31201171875,549.7970116946221,518.9296308909336,527.8766770166352,49880330,485.72705078125,516.7644063313802,-0.011566138527373648
2020-04-09,67,545.7484741210938,551.4969475185908,533.6923219689452,543.0867091790553,33032857,498.0986022949219,513.4092631022136,0.023319299263978133
2020-04-13,68,531.969970703125,543.534047096568,527.8766572382242,538.590786977077,23673784,502.880810546875,510.02056274414065,-0.02524698477656484
2020-04-15,69,514.388916015625,552.9283884903713,511.32454531609477,535.50397581859,35321842,506.62291564941404,506.40967610677086,-0.03304896076044006
2020-04-16,70,522.5308837890625,531.2095269171233,512.2194182504446,514.3890491699482,37455706,511.2060607910156,503.1559305826823,0.015828427712836213
2020-04-17,71,547.5601196289062,550.2442808995188,533.535612903734,543.9813374764348,33269335,519.8645751953125,501.5954121907552,0.047900012451604024
2020-04-20,72,556.4177856445312,562.3227974116861,537.7184224485133,548.4548889228998,36030932,525.6823974609375,500.5165486653646,0.016176609102993122
2020-04-21,73,553.5324096679688,560.0860954670951,520.719067459836,541.2972622124873,61371628,532.7013732910157,498.943359375,-0.005185628588813329
